x,y,tnum,x_sd,y_sd,num_rx,x_m,y_m,tnum_m,time_m,model_u,model_u_surf,model_v,model_v_surf,model_vor,model_vor_surf,model_z_bed,model_z_eta
647354.150787925,4185747.77841247,1522253902.4423401,19.4573321586549,17.6041690365066,2,647354.1712012725,4185747.7744288603,1522253910.00662,2018-03-28 16:18:30.006620,-0.47704805288226326,-0.8089492848946014,0.48935472695072946,0.8224003478129829,-0.005214075878969077,-0.003035693921780852,-5.786368932818971,-1.4213320120836548
647354.19161462,4185747.77044525,1522253917.5709,18.1275375012761,16.1326746282818,1,647354.1984458615,4185747.7691428503,1522253920.10191,2018-03-28 16:18:40.101910,-0.47688561004845387,-0.8088732059063829,0.48917887892266243,0.8223355786776221,-0.005245379949785869,-0.0030597644200067164,-5.787726869831394,-1.4213228501329283
647354.205277103,4185747.76784045,1522253922.63292,17.660256093389197,15.608950902056401,1,647354.250887596,4185747.75508452,1522253942.85636,2018-03-28 16:19:02.856360,-0.4766284129191817,-0.8087268698156648,0.488888452894535,0.8221986622287935,-0.0053020034613175115,-0.003107379128336002,-5.790024999999999,-1.4213042546433579
647354.296498089,4185747.74232859,1522253963.0798,13.3516575436768,10.5216851858922,1,647354.313522013,4185747.73407223,1522253970.679275,2018-03-28 16:19:30.679275,-0.47662165384844596,-0.8085054636877405,0.4888839894466528,0.8220066349010656,-0.005365684204370738,-0.003165642579820299,-5.790025,-1.4212802404378764
647354.3305459371,4185747.72581587,1522253978.27875,11.3131275161781,7.784725137261339,1,647354.3362107496,4185747.72307765,1522253980.80859,2018-03-28 16:19:40.808590,-0.4766400405267738,-0.8084307047708118,0.4888910069679931,0.8219281464870087,-0.005385587927905319,-0.0031878653008529934,-5.790025,-1.421270792251189
647354.341875562,4185747.72033943,1522253983.3384302,10.5475718891821,6.626045230522139,1,647354.3475332435,4185747.71760352,1522253985.8669353,2018-03-28 16:19:45.866935,-0.4766491387886187,-0.8083933771792767,0.48889447690781096,0.8218890110976819,-0.0053955323468715816,-0.0031989510881871575,-5.790024999999999,-1.4212660800485648
647354.353190925,4185747.71486761,1522253988.39544,9.722455289965893,5.215986050571161,3,647355.9100162131,4185750.60655775,1522253990.92398,2018-03-28 16:19:50.923980,-0.45826698156345624,-0.7968320595730806,0.48346378224250075,0.825928771246401,-0.008080601653445901,-0.004086653024918868,-5.7619532480735645,-1.4214140474682004
647357.4668415011,4185753.49824789,1522253993.45252,7.7243245395286,6.36613913193104,2,647357.1866573405,4185757.163233255,1522254003.569375,2018-03-28 16:20:03.569375,-0.4278812418363469,-0.7830016214593243,0.4738522784767133,0.837696446417415,-0.015434304743202065,-0.00210657645830839,-5.7614774123146475,-1.4225333560201256
647356.90647318,4185760.82821862,1522254013.6862302,6.14894766609063,6.31327138013347,1,647356.7664063965,4185762.66037046,1522254018.74371,2018-03-28 16:20:18.743710,-0.4080552086496384,-0.7752502399879987,0.44324107452778294,0.8240983362688306,0.0016018831363654173,-0.00202317099303731,-5.928002943553954,-1.4225860652488964
647356.626339613,4185764.4925223,1522254023.8011901,4.47117087967766,5.42098711254133,2,647353.1725446535,4185770.77678075,1522254033.9206452,2018-03-28 16:20:33.920645,-0.44482883929741035,-0.7789835619594506,0.45203016437847876,0.7994722058367694,-0.0023238223466398034,-0.001957810628817974,-5.790025,-1.4234680433802898
647349.718749694,4185777.0610392,1522254044.0401,4.95105812701721,5.05284436167178,1,647347.9925524425,4185780.201888405,1522254049.097775,2018-03-28 16:20:49.097775,-0.4504265202117603,-0.7857345750965936,0.4469048357059662,0.7915235064700047,-0.0033248468107360263,-0.002080621657976872,-5.790025,-1.425494187356572
647346.266355191,4185783.34273761,1522254054.15545,0.020655265574997,0.0118135676976512,5,647345.27820579,4185784.704216635,1522254056.6830802,2018-03-28 16:20:56.683080,-0.4558893946315587,-0.7792998307085433,0.45915226929622033,0.7886364433462995,0.0017546789902751075,-0.0009940393035911266,-5.644492686551176,-1.4267022398328046
647344.2900563889,4185786.06569566,1522254059.21071,3.29937653213468,1.62631369824145,2,647340.5793277465,4185792.00998166,1522254069.3268752,2018-03-28 16:21:09.326875,-0.4439020922857473,-0.7723986050501714,0.45047548052826614,0.7819732938611557,0.0011749609027385949,-0.0016658161454237985,-5.767004564077001,-1.4278828098710596
647336.868599104,4185797.95426766,1522254079.4430401,4.00293543946563,4.02404617150236,2,647335.135399426,4185800.804544055,1522254084.49967,2018-03-28 16:21:24.499670,-0.4455746583092671,-0.7894695719646272,0.45968395880810115,0.806277342158126,-0.0039053165648619548,-0.0011536700769548824,-5.605978327624169,-1.4318681726818085
647333.402199748,4185803.65482045,1522254089.5563,0.0416341870350792,6.5389979368683315,2,647330.6297372719,4185807.9314999403,1522254097.14212,2018-03-28 16:21:37.142120,-0.436890941061961,-0.7904095739251887,0.44735615040174515,0.8041204221352996,-0.003550330816133221,-4.0423359465580067e-05,-5.727295444941114,-1.4337652006179453
647327.857274796,4185812.20817943,1522254104.72794,6.629191473891269,8.388934490429031,1,647326.9335665714,4185813.63304503,1522254107.25532,2018-03-28 16:21:47.255320,-0.4550266053179427,-0.7913133243151407,0.45598473169447395,0.7922223452713787,-0.001916920804902203,-0.0015982700711589526,-5.51431,-1.4348432406448473
647326.009858347,4185815.05791063,1522254109.7827,7.467889430050469,8.73215831149685,1,647324.1619516346,4185817.90839263,1522254114.83878,2018-03-28 16:21:54.838780,-0.4329943729958575,-0.7819091282668071,0.4458613555257769,0.7949625106939004,0.0008513296034977219,0.0001368557785670632,-5.570968374791059,-1.4356277297076965
647322.314044922,4185820.75887463,1522254119.89486,8.6817142578067,9.1115067803016,1,647312.1279043985,4185836.4528531004,1522254147.7160048,2018-03-28 16:22:27.716004,-0.40636399744914636,-0.7545337354411883,0.4434220303868568,0.7954127529928072,-9.781634360776781e-05,0.0004019673440655569,-5.790025,-1.4388242555405104
647301.941763875,4185852.14683157,1522254175.53715,9.198857987803839,1.3015601225902,2,647300.9636462195,4185853.213340545,1522254178.06602,2018-03-28 16:22:58.066020,-0.406527982795579,-0.7316345585141393,0.41630005121220665,0.7436099270676583,-0.005235385887250199,-0.007045379765322629,-5.90197117976342,-1.4462161688675423
647299.985528564,4185854.27984952,1522254180.59489,8.88381239952399,3.86274191776656,1,647298.029127036,4185856.41304859,1522254185.6530652,2018-03-28 16:23:05.653065,-0.4116611676387356,-0.7391679036842066,0.4283224702070073,0.7520608270713238,-0.0034067615987484756,-0.005814374007024031,-5.76357129489748,-1.447515140853803
647296.072725508,4185858.54624766,1522254190.71124,7.9210378009497,4.668387404686482,1,647294.1163374435,4185860.679431895,1522254195.76938,2018-03-28 16:23:15.769380,-0.41026395833056123,-0.7346149241482638,0.43471695338430744,0.7554030259967046,-0.004251683870112141,-0.013059612163718731,-5.768039213208034,-1.4494844596134944
647292.159949379,4185862.81261613,1522254200.82752,6.33945855419301,1.6164940277241902,2,647291.0656178185,4185863.4221602753,1522254203.355925,2018-03-28 16:23:23.355925,-0.4114659129006788,-0.7274460090641177,0.44051556382920576,0.7522552673571495,-0.0005158204628031987,-0.008417883398490061,-5.61762976742884,-1.4507170372985654
647289.971286258,4185864.03170442,1522254205.88433,5.06257592506757,3.34605620031663,2,647289.2507747889,4185865.206677325,1522254208.41249,2018-03-28 16:23:28.412490,-0.4242713441386757,-0.7375558589514646,0.45935552956206954,0.7710805887532788,-4.2688068609061935e-05,-0.007457024609130641,-5.527621930410675,-1.451364545353175
647288.53026332,4185866.38165023,1522254210.94065,4.72029646404904,2.26302958984067,2,647287.7246416265,4185867.3787611052,1522254213.468545,2018-03-28 16:23:33.468545,-0.4192449146830724,-0.7330197514918643,0.4589401443629729,0.7725140256759695,-0.006281644177499449,-0.011805563985171463,-5.51431,-1.4519569092524032
647286.919019933,4185868.37587198,1522254215.99644,2.7246932440935496,4.29911323744808,2,647285.888602735,4185870.739966325,1522254221.05517,2018-03-28 16:23:41.055170,-0.3948224963385488,-0.7065382931774343,0.443951897337038,0.7615554801709922,-0.008573808525273563,-0.014129808485479955,-5.51431,-1.4526326515948744
647284.858185537,4185873.10406067,1522254226.1139,0.0314534614202775,0.0633119006848334,3,647283.7980149051,4185874.005335615,1522254228.64345,2018-03-28 16:23:48.643450,-0.38846169226945676,-0.6896143183878534,0.451142242574221,0.7592407428921188,-0.018613944490719278,-0.019583954868559156,-5.431784695072388,-1.4535225897851143
647282.737844273,4185874.90661056,1522254231.173,1.1803270555418302,3.76554492121063,2,647281.7796799315,4185875.775908845,1522254233.702435,2018-03-28 16:23:53.702435,-0.39443845297905233,-0.690290875241039,0.46418838729655343,0.7617589680804522,-0.0249479130442138,-0.024130488547413453,-5.318182496890682,-1.4545214350886106
647280.82151559,4185876.64520713,1522254236.23187,4.06232065584295,5.2185047107259015,1,647276.0318774804,4185880.990611475,1522254248.875895,2018-03-28 16:24:08.875895,-0.3622457617551901,-0.6514224879810754,0.44889683279955733,0.7485050750696398,-0.01019437965491296,-0.01458256151424639,-5.238594000000001,-1.4555344159193688
647271.2422393711,4185885.33601582,1522254261.5199199,7.105199467406711,7.3273522138551295,1,647268.3677542845,4185887.94389582,1522254269.1081748,2018-03-28 16:24:29.108174,-0.33638089557778794,-0.6056692066782337,0.4558435112963296,0.7517570928635369,-0.009478070995587617,-0.021117007592177134,-4.971678432306626,-1.4581740502395149
647265.493269198,4185890.55177582,1522254276.69643,6.1413900589162,6.20737710256032,1,647263.5771452885,4185892.29018179,1522254281.75474,2018-03-28 16:24:41.754740,-0.3264485158784387,-0.5885514101269348,0.45273397459827563,0.7512829352811918,-0.008154783871339472,-0.013718699399661305,-4.962879000000001,-1.45828405860764
647261.6610213789,4185894.02858776,1522254286.81305,3.9168976006225495,3.93091483369528,1,647260.702859061,4185894.897881645,1522254289.3424702,2018-03-28 16:24:49.342470,-0.31753782229190475,-0.5861445478955509,0.44640932000259326,0.7509802161649384,-0.011586182788462268,-0.014761224485206753,-4.962879,-1.4582531979446693
647259.744696743,4185895.76717553,1522254291.87189,0.033346372864029,0.159425021982383,3,647257.9756560901,4185896.50757768,1522254294.40175,2018-03-28 16:24:54.401750,-0.31055770822135986,-0.5804898368808454,0.4440085923128459,0.7493392761511386,-0.001844731643368569,-0.01110447822808655,-4.962879,-1.4583737001272865
647256.206615437,4185897.24797983,1522254296.9316099,1.10485648462063,3.51291511176543,2,647254.914668991,4185898.13867873,1522254299.462445,2018-03-28 16:24:59.462445,-0.28769153170546646,-0.5718961135781992,0.4141443492766288,0.7388424594774566,0.008434410904867323,-0.010185793173169838,-5.144173187843147,-1.4586016711371057
647253.622722545,4185899.02937763,1522254301.9932802,1.04598985335636,4.4267219744276,2,647252.2868361745,4185899.909716725,1522254304.524125,2018-03-28 16:25:04.524125,-0.27499694988300205,-0.5836037824781927,0.38305493989404293,0.7351218872898388,0.004807141689394237,-0.007778839779230662,-5.376097681773478,-1.4589494001782821
