tag,epo,TagID_Hex,release
71A9,1521019231,71A9,upper
71AA,1521903768,71AA,lower
71B5,1521952589,71B5,upper
7229,1521949055,7229,upper
7245,1521790625,7245,lower
7249,1521950798,7249,upper
724A,1521570152,724A,upper
7253,1521464211,7253,upper
7255,1523708926,7255,upper
7256,1521883959,7256,lower
7259,1521469038,7259,upper
725B,1521961075,725B,lower
7265,1522017694,7265,lower
7269,1522102115,7269,lower
7275,1521566718,7275,lower
7289,1521905539,7289,lower
728D,1522065652,728D,lower
7294,1522115579,7294,lower
7299,1523178121,7299,lower
729A,1522361597,729A,upper
72A6,1521856580,72A6,lower
72A8,1522594402,72A8,upper
72AB,1521479700,72AB,lower
72AE,1522923321,72AE,upper
72AF,1522255572,72AF,upper
72B3,1522510906,72B3,upper
72C5,1523163801,72C5,lower
72CA,1522370773,72CA,lower
72CB,1522591967,72CB,lower
72CD,1521833125,72CD,upper
72D1,1521943006,72D1,lower
72D2,1521700280,72D2,lower
72D5,1523359291,72D5,lower
72D7,1522189574,72D7,lower
72DB,1521051673,72DB,upper
72ED,1521449983,72ED,lower
72F5,1522370798,72F5,upper
7329,1522117168,7329,upper
732B,1521146294,732B,upper
734D,1521496606,734D,lower
735A,1522989515,735A,upper
735B,1521120938,735B,upper
7365,1522595344,7365,lower
7369,1522744214,7369,upper
736A,1522468776,736A,upper
73A9,1521845693,73A9,lower
7415,1521407966,7415,lower
7435,1521405007,7435,lower
7449,1522357537,7449,lower
744D,1521891249,744D,lower
7452,1523062298,7452,upper
7454,1521330755,7454,lower
745A,1522776240,745A,upper
7469,1522354277,7469,upper
746D,1522264234,746D,lower
748B,1521891391,748B,lower
7491,1522023543,7491,upper
7492,1522140908,7492,lower
7496,1523583824,7496,upper
7497,1522192666,7497,upper
7499,1521939447,7499,lower
749B,1521690046,749B,upper
74A1,1522017074,74A1,lower
74A8,1521890879,74A8,lower
74AB,1521947404,74AB,lower
74AD,1521939128,74AD,upper
74AF,1523210835,74AF,lower
74B3,1521436525,74B3,lower
74B4,1521908633,74B4,lower
74B5,1522102405,74B5,lower
74B7,1521941363,74B7,lower
74BB,1520984528,74BB,upper
74C9,1522026846,74C9,lower
74CA,1521597173,74CA,lower
74CB,1521890601,74CB,lower
74D1,1523428628,74D1,lower
74D2,1522376719,74D2,lower
74D3,1522025446,74D3,upper
74D5,1522512829,74D5,lower
74D9,1522579885,74D9,upper
74DD,1522184317,74DD,lower
74EB,1522158343,74EB,upper
74ED,1522402905,74ED,upper
74F5,1523002135,74F5,lower
750A,1523699391,750A,upper
7514,1523727390,7514,lower
7517,1521942359,7517,upper
7519,1521594034,7519,lower
751D,1521280557,751D,lower
7522,1521278312,7522,lower
7526,1521955107,7526,lower
7527,1521689425,7527,lower
7528,1521937756,7528,lower
752B,1521930445,752B,lower
752C,1521298788,752C,lower
752E,1523542399,752E,upper
7532,1521279278,7532,upper
7533,1522677817,7533,upper
7536,1521279085,7536,upper
7537,1521938699,7537,lower
7544,1522529294,7544,lower
7545,1521462655,7545,upper
7547,1521463501,7547,lower
754E,1520981951,754E,lower
754F,1522021060,754F,lower
7555,1521453964,7555,lower
7557,1521530587,7557,lower
7558,1521929163,7558,lower
755B,1522015300,755B,lower
755C,1521520529,755C,lower
755E,1522030507,755E,lower
755F,1522338073,755F,upper
7563,1521519826,7563,upper
7564,1522015507,7564,upper
7566,1521933732,7566,lower
7567,1521928890,7567,lower
7569,1522592136,7569,upper
756B,1522955757,756B,lower
7571,1521550196,7571,lower
7572,1522697133,7572,upper
7575,1521419527,7575,lower
7577,1521950823,7577,lower
7579,1523727551,7579,upper
757A,1521463364,757A,upper
7585,1521939291,7585,lower
7589,1521889812,7589,lower
758A,1521942174,758A,lower
758D,1521297599,758D,upper
7591,1523149457,7591,lower
7593,1521653386,7593,lower
7599,1521987714,7599,lower
75A1,1523370493,75A1,upper
75A2,1521950105,75A2,lower
75A5,1522291035,75A5,lower
75A7,1521961794,75A7,upper
75AF,1522627918,75AF,upper
75B3,1521961241,75B3,lower
75B4,1523378756,75B4,upper
75B5,1521942142,75B5,upper
75B6,1521889160,75B6,lower
75B7,1522355964,75B7,lower
75BA,1521940617,75BA,lower
75C5,1521533273,75C5,lower
75C9,1521443162,75C9,lower
75CB,1521365390,75CB,upper
75D1,1522421622,75D1,lower
75D3,1521957943,75D3,lower
75D4,1523543437,75D4,upper
75D5,1521656781,75D5,lower
75EA,1521636732,75EA,upper
75EB,1521891881,75EB,upper
75ED,1523290868,75ED,upper
7615,1521572137,7615,lower
7625,1521740428,7625,lower
7629,1522011122,7629,lower
762D,1522281778,762D,lower
7645,1523322834,7645,upper
764D,1521794939,764D,upper
