track,tag,entry_time,exit_time,x,y,route
track-71A9,71A9,,,,,no_exit
track-71AA,71AA,,,647384.958131306,4185731.7109615,no_exit
track-71B5,71B5,,1521952937.2191365,,,San_Joaquin
track-7253,7253,,,,,no_exit
track-7256,7256,,1521884533.682719,,,San_Joaquin
track-7259,7259,,1522491286.3380349,,,San_Joaquin
track-725B,725B,,1521961504.787068,,,San_Joaquin
track-7265,7265,,1522018208.480342,,,San_Joaquin
track-7269,7269,,1522102492.598623,,,San_Joaquin
track-7289,7289,,,,,no_exit
track-728D,728D,,1522066105.2199676,,,San_Joaquin
track-729A,729A,,1522362047.4378,,,San_Joaquin
track-72D1,72D1,,,,,no_exit
track-72ED,72ED,,,,,no_exit
track-732B,732B,,,,,no_exit
track-734D,734D,,1521497363.242467,647394.478796451,4185718.19956078,San_Joaquin
track-7454,7454,,1521333230.9435172,647380.6338413979,4185705.28504766,Head_of_Old_River
track-7492,7492,,,,,no_exit
track-7499,7499,,1521940147.062863,,,San_Joaquin
track-74A1,74A1,,1522017578.1305974,647381.3902068221,4185703.67925185,San_Joaquin
track-74AB,74AB,,1521947924.0736852,647381.578138442,4185710.06064112,San_Joaquin
track-74AD,74AD,,1522023040.07787,,,San_Joaquin
track-74B3,74B3,,1521437656.5764024,647380.960541454,4185720.28706821,San_Joaquin
track-74B4,74B4,,1521909216.7605903,,,San_Joaquin
track-74B5,74B5,,1522102836.2965147,647395.066646718,4185726.4556935,San_Joaquin
track-74C9,74C9,,1522027225.1370435,,,San_Joaquin
track-74CB,74CB,,1521891073.8856163,,,San_Joaquin
track-74DD,74DD,,,,,no_exit
track-74EB,74EB,,1522158625.5441384,,,San_Joaquin
track-752B,752B,,1521931191.7696855,647387.113186042,4185710.61558227,Head_of_Old_River
track-7532,7532,,1521279873.3877244,647369.1079159529,4185704.15334922,Head_of_Old_River
track-7555,7555,,,,,no_exit
track-7557,7557,,1521531222.0615785,,,Head_of_Old_River
track-755B,755B,,1522016003.2806046,,,San_Joaquin
track-755E,755E,,,,,no_exit
track-7563,7563,,1521521293.1066628,647401.037325163,4185724.35511514,Head_of_Old_River
track-7566,7566,,1521934288.1224186,647398.381729597,4185725.66206875,Head_of_Old_River
track-7567,7567,,1521929400.327001,,,San_Joaquin
track-7571,7571,,1521551656.1181214,,,San_Joaquin
track-7585,7585,,,,,no_exit
track-758A,758A,,1521942310.830707,,,Head_of_Old_River
track-758D,758D,,1521299549.5688,647404.670116139,4185734.69490778,Head_of_Old_River
track-7599,7599,,,,,no_exit
track-75A2,75A2,,1521950600.7673054,,,San_Joaquin
track-75B3,75B3,,,,,no_exit
track-75B6,75B6,,1521889909.3932495,,,San_Joaquin
track-75BA,75BA,,1521941302.8731973,647365.5657899671,4185704.78315781,Head_of_Old_River
track-75C9,75C9,,1521444024.5896544,,,San_Joaquin
track-75D3,75D3,,1521958354.2901835,,,San_Joaquin
track-75D5,75D5,,1521658564.399313,647407.6373968071,4185734.49623246,San_Joaquin
track-7615,7615,,1521573576.586874,647396.152495179,4185721.10658961,San_Joaquin
track-7629,7629,,1522011759.3924375,647386.912846084,4185710.77272603,Head_of_Old_River
track-7652,7652,,1521538329.8256488,,,San_Joaquin
track-7653,7653,,1521996237.8689876,,,San_Joaquin
track-7657,7657,,1522612575.7515154,,,San_Joaquin
