track,tag,x,y,route,entry_utc_epoch,entry_time_pst,exit_utc_epoch,exit_time_pst,first_detection_utc_epoch,first_detection_time_pst
track-71A9,71A9,647330.340125741,4185758.41406065,no_exit,,,,,1521020009.19851,2018-03-14 01:33:29
track-71AA,71AA,647384.958131306,4185731.7109615,no_exit,1521903666.2592466,2018-03-24 07:01:06,,,1521903666.2592466,2018-03-24 07:01:06
track-71B5,71B5,647350.969289505,4185752.09438233,San_Joaquin,,,1521952937.2191365,2018-03-24 20:42:17,1521952597.78995,2018-03-24 20:36:38
track-7253,7253,647361.628439256,4185775.40536889,no_exit,,,,,1521464213.94701,2018-03-19 04:56:54
track-7256,7256,647373.5871428921,4185765.08961905,San_Joaquin,,,1521884533.682719,2018-03-24 01:42:14,1521883962.44715,2018-03-24 01:32:42
track-7259,7259,647388.302345834,4185734.6558053,San_Joaquin,,,1522491286.3380349,2018-03-31 02:14:46,1522491036.21816,2018-03-31 02:10:36
track-725B,725B,647331.282197525,4185804.45278746,San_Joaquin,,,1521961504.787068,2018-03-24 23:05:05,1521961239.28332,2018-03-24 23:00:39
track-7265,7265,647367.141984788,4185711.99546615,San_Joaquin,,,1522018208.480342,2018-03-25 14:50:08,1522017758.3788302,2018-03-25 14:42:38
track-7269,7269,647372.588810284,4185739.25374904,San_Joaquin,,,1522102492.598623,2018-03-26 14:14:53,1522102058.71769,2018-03-26 14:07:39
track-7289,7289,647397.85420996,4185732.56950818,no_exit,,,,,1522008546.37072,2018-03-25 12:09:06
track-728D,728D,647352.433866615,4185776.54384517,San_Joaquin,,,1522066105.2199676,2018-03-26 04:08:25,1522065767.4416099,2018-03-26 04:02:47
track-729A,729A,647343.199668405,4185794.35300353,San_Joaquin,,,1522362047.4378,2018-03-29 14:20:47,1522361732.17672,2018-03-29 14:15:32
track-72D1,72D1,647406.123503999,4185751.09328621,no_exit,,,,,1521943055.03725,2018-03-24 17:57:35
track-72ED,72ED,647361.856525052,4185728.13753849,no_exit,,,,,1521449985.68621,2018-03-19 00:59:46
track-732B,732B,647377.800880191,4185740.54522237,no_exit,,,,,1521147534.12611,2018-03-15 12:58:54
track-734D,734D,647394.478796451,4185718.19956078,San_Joaquin,1521496818.1178224,2018-03-19 14:00:18,1521497363.242467,2018-03-19 14:09:23,1521496818.1178224,2018-03-19 14:00:18
track-7454,7454,647380.6338413979,4185705.28504766,Head_of_Old_River,1521332223.2555606,2018-03-17 16:17:03,1521333230.9435172,2018-03-17 16:33:51,1521332223.2555606,2018-03-17 16:17:03
track-7492,7492,647361.927735508,4185710.77525724,no_exit,,,,,1522140927.72839,2018-03-27 00:55:28
track-7499,7499,647408.294975631,4185750.59619176,San_Joaquin,,,1521940147.062863,2018-03-24 17:09:07,1521939451.10422,2018-03-24 16:57:31
track-74A1,74A1,647381.3902068221,4185703.67925185,San_Joaquin,1522017112.8405807,2018-03-25 14:31:53,1522017578.1305974,2018-03-25 14:39:38,1522017112.8405807,2018-03-25 14:31:53
track-74AB,74AB,647381.578138442,4185710.06064112,San_Joaquin,1521947465.6355426,2018-03-24 19:11:06,1521947924.0736852,2018-03-24 19:18:44,1521947465.6355426,2018-03-24 19:11:06
track-74AD,74AD,647348.087881818,4185766.20504581,San_Joaquin,,,1522023040.07787,2018-03-25 16:10:40,1522022700.49078,2018-03-25 16:05:00
track-74B3,74B3,647380.960541454,4185720.28706821,San_Joaquin,1521436931.4281785,2018-03-18 21:22:11,1521437656.5764024,2018-03-18 21:34:17,1521436931.4281785,2018-03-18 21:22:11
track-74B4,74B4,647325.8258222729,4185834.59322302,San_Joaquin,,,1521909216.7605903,2018-03-24 08:33:37,1521908776.31079,2018-03-24 08:26:16
track-74B5,74B5,647395.066646718,4185726.4556935,San_Joaquin,1522102450.6056097,2018-03-26 14:14:11,1522102836.2965147,2018-03-26 14:20:36,1522102450.6056097,2018-03-26 14:14:11
track-74C9,74C9,647360.9589761429,4185720.51046237,San_Joaquin,,,1522027225.1370435,2018-03-25 17:20:25,1522026890.1614199,2018-03-25 17:14:50
track-74CB,74CB,647356.954690985,4185773.97082343,San_Joaquin,,,1521891073.8856163,2018-03-24 03:31:14,1521890640.4200199,2018-03-24 03:24:00
track-74DD,74DD,647256.166832487,4185899.6391691,no_exit,,,,,1522184492.60775,2018-03-27 13:01:33
