"Time","B95820Q",,
"and",262.00,,
"Date","Point","Qual",
10/01/2017 00:00:00,        2340,      1,Sites:
10/01/2017 00:15:00,        2300,      1,B95820Q - San Joaquin River @ Mossdale Lat:37.7861406 Long:-121.3064897 Elev:0m
10/01/2017 00:30:00,        2280,      1,
10/01/2017 00:45:00,        2150,      1,Variables:
10/01/2017 01:00:00,        2200,      1,262 - Flow (Cubic feet/second)
10/01/2017 01:15:00,        2010,      1,
10/01/2017 01:30:00,        2170,      1,Qualities:
10/01/2017 01:45:00,        2050,      1,1 - Good data
10/01/2017 02:00:00,        2010,      1,2 - Good quality edited data
10/01/2017 02:15:00,        1930,      1,151 - Data Missing
10/01/2017 02:30:00,        1900,      1,255 - No data exists
10/01/2017 02:45:00,        1870,      1,
10/01/2017 03:00:00,        1860,      1,
10/01/2017 03:15:00,        1940,      1,
10/01/2017 03:30:00,        1950,      1,
10/01/2017 03:45:00,        2260,      1,
10/01/2017 04:00:00,        2570,      1,
10/01/2017 04:15:00,        2610,      1,
10/01/2017 04:30:00,        2840,      2,
10/01/2017 04:45:00,        2940,      1,
10/01/2017 05:00:00,        2880,      1,
10/01/2017 05:15:00,        2860,      1,
10/01/2017 05:30:00,        3030,      1,
10/01/2017 05:45:00,        3050,      2,
10/01/2017 06:00:00,        3040,      2,
10/01/2017 06:15:00,        3160,      1,
10/01/2017 06:30:00,        3140,      1,
10/01/2017 06:45:00,        3060,      1,
10/01/2017 07:00:00,        3070,      1,
10/01/2017 07:15:00,        3240,      1,
10/01/2017 07:30:00,        3090,      1,
10/01/2017 07:45:00,        3120,      2,
10/01/2017 08:00:00,        3040,      1,
10/01/2017 08:15:00,        3150,      2,
10/01/2017 08:30:00,        3120,      2,
10/01/2017 08:45:00,        3140,      1,
10/01/2017 09:00:00,        3110,      2,
10/01/2017 09:15:00,        3000,      2,
10/01/2017 09:30:00,        3070,      1,
10/01/2017 09:45:00,        3050,      1,
10/01/2017 10:00:00,        3000,      1,
10/01/2017 10:15:00,        2980,      1,
10/01/2017 10:30:00,        3020,      2,
10/01/2017 10:45:00,        2840,      1,
10/01/2017 11:00:00,        2980,      1,
10/01/2017 11:15:00,        2940,      1,
10/01/2017 11:30:00,        2940,      1,
10/01/2017 11:45:00,        2930,      1,
10/01/2017 12:00:00,        2860,      1,
10/01/2017 12:15:00,        2810,      1,
10/01/2017 12:30:00,        2800,      1,
10/01/2017 12:45:00,        2790,      1,
10/01/2017 13:00:00,        2540,      1,
10/01/2017 13:15:00,        2450,      1,
10/01/2017 13:30:00,        2440,      1,
10/01/2017 13:45:00,        2400,      1,
10/01/2017 14:00:00,        2350,      1,
10/01/2017 14:15:00,        2390,      1,
10/01/2017 14:30:00,        2230,      1,
10/01/2017 14:45:00,        2320,      1,
10/01/2017 15:00:00,        2330,      1,
10/01/2017 15:15:00,        2280,      1,
10/01/2017 15:30:00,        2140,      1,
10/01/2017 15:45:00,        2260,      1,
10/01/2017 16:00:00,        2210,      1,
10/01/2017 16:15:00,        2270,      1,
10/01/2017 16:30:00,        2220,      1,
10/01/2017 16:45:00,        2160,      1,
10/01/2017 17:00:00,        2210,      1,
10/01/2017 17:15:00,        2250,      1,
10/01/2017 17:30:00,        2360,      1,
10/01/2017 17:45:00,        2450,      1,
10/01/2017 18:00:00,        2670,      1,
10/01/2017 18:15:00,        2720,      1,
10/01/2017 18:30:00,        2880,      1,
10/01/2017 18:45:00,        2830,      1,
10/01/2017 19:00:00,        2960,      1,
10/01/2017 19:15:00,        3040,      1,
10/01/2017 19:30:00,        2980,      1,
10/01/2017 19:45:00,        3140,      1,
10/01/2017 20:00:00,        3060,      1,
10/01/2017 20:15:00,        3070,      1,
10/01/2017 20:30:00,        3020,      1,
10/01/2017 20:45:00,        3120,      1,
10/01/2017 21:00:00,        3100,      1,
10/01/2017 21:15:00,        3000,      1,
10/01/2017 21:30:00,        3140,      1,
10/01/2017 21:45:00,        2980,      1,
10/01/2017 22:00:00,        2930,      1,
10/01/2017 22:15:00,        3050,      1,
10/01/2017 22:30:00,        3060,      1,
10/01/2017 22:45:00,        2900,      1,
10/01/2017 23:00:00,        3020,      1,
10/01/2017 23:15:00,        3000,      1,
10/01/2017 23:30:00,        2820,      1,
10/01/2017 23:45:00,        2900,      1,
10/02/2017 00:00:00,        2760,      1,
10/02/2017 00:15:00,        2680,      1,
10/02/2017 00:30:00,        2490,      1,
10/02/2017 00:45:00,        2350,      1,
10/02/2017 01:00:00,        2390,      1,
10/02/2017 01:15:00,        2270,      1,
10/02/2017 01:30:00,        2360,      1,
10/02/2017 01:45:00,        2290,      1,
10/02/2017 02:00:00,        2170,      1,
10/02/2017 02:15:00,        2240,      1,
10/02/2017 02:30:00,        2180,      1,
10/02/2017 02:45:00,        2230,      1,
10/02/2017 03:00:00,        2170,      1,
10/02/2017 03:15:00,        2140,      1,
10/02/2017 03:30:00,        2020,      1,
10/02/2017 03:45:00,        1980,      2,
10/02/2017 04:00:00,        2010,      1,
10/02/2017 04:15:00,        2030,      2,
10/02/2017 04:30:00,        2140,      1,
10/02/2017 04:45:00,        2320,      1,
10/02/2017 05:00:00,        2470,      1,
10/02/2017 05:15:00,        2540,      1,
10/02/2017 05:30:00,        2640,      1,
10/02/2017 05:45:00,        2830,      1,
10/02/2017 06:00:00,        2990,      1,
10/02/2017 06:15:00,        3070,      1,
10/02/2017 06:30:00,        3090,      1,
10/02/2017 06:45:00,        3230,      1,
10/02/2017 07:00:00,        3220,      1,
10/02/2017 07:15:00,        3090,      1,
10/02/2017 07:30:00,        3240,      1,
10/02/2017 07:45:00,        3170,      1,
10/02/2017 08:00:00,        3200,      1,
10/02/2017 08:15:00,        3230,      1,
10/02/2017 08:30:00,        3210,      1,
10/02/2017 08:45:00,        3200,      1,
10/02/2017 09:00:00,        3230,      1,
10/02/2017 09:15:00,        3370,      1,
10/02/2017 09:30:00,        3360,      1,
10/02/2017 09:45:00,        3330,      1,
10/02/2017 10:00:00,        3280,      1,
10/02/2017 10:15:00,        3320,      1,
10/02/2017 10:30:00,        3270,      1,
10/02/2017 10:45:00,        3200,      1,
10/02/2017 11:00:00,        3240,      1,
10/02/2017 11:15:00,        3120,      1,
10/02/2017 11:30:00,        3190,      1,
10/02/2017 11:45:00,        3190,      1,
10/02/2017 12:00:00,        3250,      1,
10/02/2017 12:15:00,        3170,      2,
10/02/2017 12:30:00,        3110,      1,
10/02/2017 12:45:00,        3040,      1,
10/02/2017 13:00:00,        2990,      1,
10/02/2017 13:15:00,        2990,      1,
10/02/2017 13:30:00,        2810,      1,
10/02/2017 13:45:00,        2810,      1,
10/02/2017 14:00:00,        2650,      1,
10/02/2017 14:15:00,        2600,      1,
10/02/2017 14:30:00,        2650,      1,
10/02/2017 14:45:00,        2560,      1,
10/02/2017 15:00:00,        2580,      1,
10/02/2017 15:15:00,        2590,      1,
10/02/2017 15:30:00,        2520,      1,
10/02/2017 15:45:00,        2550,      1,
10/02/2017 16:00:00,        2510,      1,
10/02/2017 16:15:00,        2480,      1,
10/02/2017 16:30:00,        2360,      1,
10/02/2017 16:45:00,        2450,      1,
10/02/2017 17:00:00,        2400,      1,
10/02/2017 17:15:00,        2450,      1,
10/02/2017 17:30:00,        2370,      1,
10/02/2017 17:45:00,        2460,      1,
10/02/2017 18:00:00,        2460,      1,
10/02/2017 18:15:00,        2590,      1,
10/02/2017 18:30:00,        2710,      1,
10/02/2017 18:45:00,        3010,      1,
10/02/2017 19:00:00,        2920,      1,
10/02/2017 19:15:00,        3070,      1,
10/02/2017 19:30:00,        3070,      1,
10/02/2017 19:45:00,        3130,      1,
10/02/2017 20:00:00,        3190,      1,
10/02/2017 20:15:00,        3100,      1,
10/02/2017 20:30:00,        3190,      1,
10/02/2017 20:45:00,        3250,      1,
10/02/2017 21:00:00,        3320,      1,
10/02/2017 21:15:00,        3130,      1,
10/02/2017 21:30:00,        3150,      1,
10/02/2017 21:45:00,        3190,      1,
10/02/2017 22:00:00,        3220,      1,
10/02/2017 22:15:00,        3210,      1,
10/02/2017 22:30:00,        3220,      1,
10/02/2017 22:45:00,        3170,      1,
10/02/2017 23:00:00,        3150,      1,
10/02/2017 23:15:00,        3190,      1,
10/02/2017 23:30:00,        3060,      1,
10/02/2017 23:45:00,        3090,      1,
10/03/2017 00:00:00,        3120,      1,
10/03/2017 00:15:00,        2930,      1,
10/03/2017 00:30:00,        2860,      1,
10/03/2017 00:45:00,        3020,      1,
10/03/2017 01:00:00,        2840,      1,
10/03/2017 01:15:00,        2740,      1,
10/03/2017 01:30:00,        2660,      1,
10/03/2017 01:45:00,        2610,      1,
10/03/2017 02:00:00,        2460,      1,
10/03/2017 02:15:00,        2540,      1,
10/03/2017 02:30:00,        2430,      1,
10/03/2017 02:45:00,        2360,      1,
10/03/2017 03:00:00,        2380,      1,
10/03/2017 03:15:00,        2400,      1,
10/03/2017 03:30:00,        2430,      1,
10/03/2017 03:45:00,        2260,      1,
10/03/2017 04:00:00,        2250,      1,
10/03/2017 04:15:00,        2270,      1,
10/03/2017 04:30:00,        2210,      1,
10/03/2017 04:45:00,        2220,      1,
10/03/2017 05:00:00,        2320,      1,
10/03/2017 05:15:00,        2250,      1,
10/03/2017 05:30:00,        2360,      1,
10/03/2017 05:45:00,        2620,      1,
10/03/2017 06:00:00,        2680,      1,
10/03/2017 06:15:00,        2700,      1,
10/03/2017 06:30:00,        2970,      1,
10/03/2017 06:45:00,        3070,      1,
10/03/2017 07:00:00,        3160,      1,
10/03/2017 07:15:00,        3150,      1,
10/03/2017 07:30:00,        3230,      1,
10/03/2017 07:45:00,        3280,      1,
10/03/2017 08:00:00,        3350,      1,
10/03/2017 08:15:00,        3390,      1,
10/03/2017 08:30:00,        3250,      1,
10/03/2017 08:45:00,        3240,      1,
10/03/2017 09:00:00,        3330,      1,
10/03/2017 09:15:00,        3420,      1,
10/03/2017 09:30:00,        3330,      1,
10/03/2017 09:45:00,        3370,      1,
10/03/2017 10:00:00,        3270,      1,
10/03/2017 10:15:00,        3360,      1,
10/03/2017 10:30:00,        3270,      1,
10/03/2017 10:45:00,        3380,      1,
10/03/2017 11:00:00,        3370,      1,
10/03/2017 11:15:00,        3430,      1,
10/03/2017 11:30:00,        3340,      1,
10/03/2017 11:45:00,        3370,      1,
10/03/2017 12:00:00,        3310,      1,
10/03/2017 12:15:00,        3270,      1,
10/03/2017 12:30:00,        3180,      1,
10/03/2017 12:45:00,        3110,      1,
10/03/2017 13:14:59,"",    151,
10/03/2017 13:15:00,        2200,      1,
10/03/2017 13:30:00,        3100,      1,
10/03/2017 13:45:00,        3000,      1,
10/03/2017 14:00:00,        2940,      1,
10/03/2017 14:15:00,        2820,      1,
10/03/2017 14:30:00,        2710,      1,
